,Date,User,Tweet,hashtag,text,Segmented#
0,2023-03-23 20:57:44+00:00,ReallySwara,"Wore my fairy godmothers and favourite people @AJSKOfficial #AbuJaniSandeepKhosla for my Delhi Reception.. Felt like Cinderella! 🤗♥️✨
Jewellery from #KhannaJewellers
Taali from my mom, just like hers 🌸♥️
#SwaadAnusaar https://t.co/m1I1T3a8Ez","['AbuJaniSandeepKhosla', 'KhannaJewellers', 'SwaadAnusaar']","['wore', 'fairy', 'godmother', 'favourite', 'people', 'delhi', 'reception', 'felt', 'like', 'cinderella', 'jewellery', 'mom', 'like']",abu jani sandeep khosla  khanna jewellers  swaad anusaar
1,2023-03-23 20:52:57+00:00,ReallySwara,"This #HeenaKochhar look has my 💙💜💕
#SwaadAnusaar #qawwalinight https://t.co/d6VB4AJplB","['HeenaKochhar', 'SwaadAnusaar', 'qawwalinight']","['look', 'ha']",heena kochhar  swaad anusaar qawwalinight
2,2023-03-23 20:40:08+00:00,ReallySwara,"Details! #CantStopWontStop posting my love for this @ALIXEESHAN creation.. 
jewellery from my fave @apalabysumit 
Pics: Tarun Chawla 
Love love love! ♥️
#SwaadAnusaar #Walima https://t.co/80lR0ghllg","['CantStopWontStop', 'SwaadAnusaar', 'Walima']","['detail', 'posting', 'love', 'creation', 'jewellery', 'fave', 'pic', 'tarun', 'chawla', 'love', 'love', 'love']",cant stop wont stop  swaad anusaar  walima
3,2023-03-23 20:37:03+00:00,ReallySwara,"OBSESSED! Cannot get over the grace &amp; beauty of this creation by the mad genius of @ALIXEESHAN .. complemented seamlessly by jewellery from @apalabysumit 
So grateful to benefit from the talent of such generous magicians ! 💕🌸✨🙏🏽 Beautifully shot by Tarun Chawla
#SwaadAnusaar https://t.co/rqjfpROgVt",['SwaadAnusaar'],"['obsessed', 'cannot', 'get', 'grace', 'beauty', 'creation', 'mad', 'genius', 'complemented', 'seamlessly', 'jewellery', 'grateful', 'benefit', 'talent', 'generous', 'magician', 'beautifully', 'shot', 'tarun', 'chawla']",swaad anusaar
4,2023-03-23 20:14:41+00:00,ReallySwara,You look princely too @FahadZirarAhmad 🤓🤗😘,[],"['look', 'princely']",
5,2023-03-23 20:14:16+00:00,ReallySwara,"Wore my face #RahulMishra for the Sangeet! 
Felt like a Queen in green.. 💚✨
#SwaadAnusaar https://t.co/32YjAREvh1","['RahulMishra', 'SwaadAnusaar']","['wore', 'face', 'sangeet', 'felt', 'like', 'queen', 'green']",rahul mishra  swaad anusaar
6,2023-03-23 20:09:22+00:00,ReallySwara,Ali ji! So well said 🤗💜 @ALIXEESHAN,[],"['ali', 'ji', 'well', 'said']",
7,2023-03-22 14:47:39+00:00,ReallySwara,😂😂😂😂😂,[],[],
8,2023-03-21 19:38:04+00:00,ReallySwara,"Thank youuuuuuuuuuuuu my fellow LJ sistaah!!!! 😬😬🤓🤓💜💜✨✨🤗🤗
Thank you for being there ♥️
#SwaadAnusaar",['SwaadAnusaar'],"['thank', 'youuuuuuuuuuuuu', 'fellow', 'lj', 'sistaah', 'thank']",swaad anusaar
9,2023-03-21 19:12:23+00:00,ReallySwara,Thank you Pooja 🤗♥️,[],"['thank', 'pooja']",
10,2023-03-21 11:29:59+00:00,ReallySwara,From sarhad paar Annie rescued me in crisis. Ali who has never met me &amp; is based in Lahore managed to send me my dream outfit for a wedding finale! Makes me realise love &amp; friendship cannot be contained in borders &amp; boundaries. Feeling blessed &amp; grateful. 💕@Natrani  @ALIXEESHAN https://t.co/ZAPzoClTl3,[],"['sarhad', 'paar', 'annie', 'rescued', 'crisis', 'ali', 'ha', 'never', 'met', 'based', 'lahore', 'managed', 'send', 'dream', 'outfit', 'wedding', 'finale', 'make', 'realise', 'love', 'friendship', 'cannot', 'contained', 'border', 'boundary', 'feeling', 'blessed', 'grateful']",
11,2023-03-21 10:59:56+00:00,ReallySwara,". Ali Xeeshan not only sent Jodi outfits for @FahadZirarAhmad &amp; me, but customised them painstakingly with personalised details &amp; messages embroidered into the exquisite garments. My sarhad-paar ki bestie @Natrani came to our rescue &amp; enabled the outfits to reach Dubai. ♥️ 2/n https://t.co/vLcChhXyCW",[],"['ali', 'xeeshan', 'sent', 'jodi', 'outfit', 'customised', 'painstakingly', 'personalised', 'detail', 'message', 'embroidered', 'exquisite', 'garment', 'sarhadpaar', 'ki', 'bestie', 'came', 'rescue', 'enabled', 'outfit', 'reach', 'dubai', 'n']",
12,2023-03-21 08:20:09+00:00,ReallySwara,"My Walima outfit came all the way from Lahore via Dubai- Bombay-Delhi finally to Bareilly! I’ve long marvelled at the talent of #AliXeeshan #AliXeeshanTheatreStudio
When I called him with an idea of wearing his work @ Walima, his warmth &amp; generosity made me admire the person. 1/n https://t.co/pc9vPop70U","['AliXeeshan', 'AliXeeshanTheatreStudio']","['walima', 'outfit', 'came', 'way', 'lahore', 'via', 'dubai', 'bombaydelhi', 'finally', 'bareilly', 'ive', 'long', 'marvelled', 'talent', 'called', 'idea', 'wearing', 'work', 'walima', 'warmth', 'generosity', 'made', 'admire', 'person', 'n']",ali xeeshan  ali xeeshan theatre studio
13,2023-03-21 07:36:31+00:00,ReallySwara,@FahadZirarAhmad 🤓🤓🤗🤗♥️♥️,[],[],
14,2023-03-21 07:35:43+00:00,ReallySwara,@mayankw14 @FahadZirarAhmad Thanks Mayank :) Enjoyed reading this piece for more than our wedding reasons.. 🤗✨,[],"['thanks', 'mayank', 'enjoyed', 'reading', 'piece', 'wedding', 'reason']",
